time,i,r,pi,s(t),Modified pi,Modified s(t),s(t) Weibull,Group
143,1,1,0.8571,0.8571,0.9500,0.9500,0.9648,one
164,2,2,0.8500,0.7286,0.9474,0.9000,0.8885,one
188,3,3,0.8421,0.6135,0.9444,0.8500,0.7354,one
188,4,4,0.8333,0.5113,0.9412,0.8000,0.7354,one
190,5,5,0.8235,0.4211,0.9375,0.7500,0.7198,one
192,6,6,0.8125,0.3421,0.9333,0.7000,0.7038,one
206,7,7,0.8000,0.2737,0.9286,0.6500,0.5844,one
209,8,8,0.7857,0.2150,0.9231,0.6000,0.5576,one
213,9,9,0.7692,0.1654,0.9167,0.5500,0.5216,one
216,10,10,0.7500,0.1241,0.9091,0.5000,0.4946,one
220,12,12,0.7000,0.0868,0.8889,0.4444,0.4587,one
227,13,13,0.6667,0.0579,0.8750,0.3889,0.3970,one
230,14,14,0.6250,0.0362,0.8571,0.3333,0.3712,one
234,15,15,0.5714,0.0207,0.8333,0.2778,0.3378,one
246,17,17,0.4000,0.0083,0.7500,0.2083,0.2457,one
265,18,18,0.2500,0.0021,0.6667,0.1389,0.1318,one
304,19,19,0.0000,0.0000,0.5000,0.0694,0.0217,one
142,1,1,0.9524,0.9524,0.9545,0.9545,0.9825,two
156,2,2,0.9500,0.9048,0.9524,0.9091,0.9591,two
163,3,3,0.9474,0.8571,0.9500,0.8636,0.9422,two
198,4,4,0.9444,0.8095,0.9474,0.8182,0.7993,two
205,5,5,0.9412,0.7619,0.9444,0.7727,0.7592,two
232,7,7,0.9333,0.7111,0.9375,0.7244,0.5785,two
232,8,8,0.9286,0.6603,0.9333,0.6761,0.5785,two
233,9,9,0.9231,0.6095,0.9286,0.6278,0.5713,two
233,10,10,0.9167,0.5587,0.9231,0.5795,0.5713,two
233,11,11,0.9091,0.5079,0.9167,0.5313,0.5713,two
233,12,12,0.9000,0.4571,0.9091,0.4830,0.5713,two
239,13,13,0.8889,0.4063,0.9000,0.4347,0.5278,two
240,14,14,0.8750,0.3556,0.8889,0.3864,0.5205,two
261,15,15,0.8571,0.3048,0.8750,0.3381,0.3704,two
280,16,16,0.8333,0.2540,0.8571,0.2898,0.2496,two
280,17,17,0.8000,0.2032,0.8333,0.2415,0.2496,two
296,18,18,0.7500,0.1524,0.8000,0.1932,0.1666,two
296,19,19,0.6667,0.1016,0.7500,0.1449,0.1666,two
323,20,20,0.5000,0.0508,0.6667,0.0966,0.0714,two
